Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Population ages 15-64, total [SP.POP.1564.TO]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS]
2016,YR2016,Afghanistan,AFG,1802.69556548499,..,..,18575258,..
2016,YR2016,Albania,ALB,11356.3413288171,..,0.647750656841347,1997271,..
2016,YR2016,Algeria,DZA,13921.1800218255,..,0.343523928820444,26383347,..
2016,YR2016,American Samoa,ASM,..,..,..,..,..
2016,YR2016,Andorra,AND,..,..,..,..,..
2016,YR2016,Angola,AGO,5972.451512997,..,..,14605793,..
2016,YR2016,Antigua and Barbuda,ATG,21013.0176273358,..,..,69717,..
2016,YR2016,Arab World,ARB,15500.530522791,..,2.381363859635,253566096,..
2016,YR2016,Argentina,ARG,18584.580004917,42.4,8.79281472735163,28009966,..
2016,YR2016,Armenia,ARM,8190.23928885988,32.5,5.93860928912599,2018577,66.2287979125977
2016,YR2016,Aruba,ABW,..,..,3.75873566084448,72487,..
2016,YR2016,Australia,AUS,44493.4808943831,..,14.7815586115506,15942528,..
2016,YR2016,Austria,AUT,44464.3502683082,..,17.5747647786539,5842759,77.8626022338867
2016,YR2016,Azerbaijan,AZE,16001.3233967209,..,2.08350108444463,6926250,..
2016,YR2016,"Bahamas, The",BHS,27613.5179396955,..,..,277221,..
2016,YR2016,Bahrain,BHR,43642.9725745003,..,1.04816288352759,1102591,..
2016,YR2016,Bangladesh,BGD,3319.35280468543,32.4,..,107583339,52.8800010681152
2016,YR2016,Barbados,BRB,16741.3797629383,..,24.3481458379211,188785,..
2016,YR2016,Belarus,BLR,16773.1935504926,27,4.69403946187155,6554281,..
2016,YR2016,Belgium,BEL,42083.6443038217,..,12.536063077866,7320116,75.0233001708984
2016,YR2016,Belize,BLZ,7919.14724135852,..,..,235740,..
2016,YR2016,Benin,BEN,2009.61832073663,..,2.83005446183473,5859997,..
2016,YR2016,Bermuda,BMU,..,..,47.4396604353701,..,..
2016,YR2016,Bhutan,BTN,8253.29378307761,..,..,544687,..
2016,YR2016,Bolivia,BOL,6707.95618414272,44.6,4.45749700399482,6683948,77.6417999267578
2016,YR2016,Bosnia and Herzegovina,BIH,11337.5702648861,..,2.61068663329421,2449320,..
2016,YR2016,Botswana,BWA,15727.167803336,..,0.397624563167079,1452622,..
2016,YR2016,Brazil,BRA,14077.1214085544,..,13.4487063167767,144560447,77.3934020996094
2016,YR2016,British Virgin Islands,VGB,..,..,..,..,..
2016,YR2016,Brunei Darussalam,BRN,71788.7833914688,..,..,305929,..
2016,YR2016,Bulgaria,BGR,17794.5427573699,..,7.95768121794087,4663920,72.4481964111328
2016,YR2016,Burkina Faso,BFA,1642.32200318544,..,4.38681780125663,9733933,..
2016,YR2016,Burundi,BDI,721.176561528182,..,..,5535519,..
2016,YR2016,Cabo Verde,CPV,6065.27874039611,..,..,350189,..
2016,YR2016,Cambodia,KHM,3465.12556490306,..,0.432365532862983,10143144,..
2016,YR2016,Cameroon,CMR,3346.81779272084,..,..,12641093,..
2016,YR2016,Canada,CAN,43238.2596047198,..,12.9347142393499,24462794,72.7596969604492
2016,YR2016,Cayman Islands,CYM,..,..,..,..,..
2016,YR2016,Central African Republic,CAF,642.873494030895,..,0.0873599427389017,2427789,..
2016,YR2016,Chad,TCD,1878.37848258326,..,..,7247070,..
2016,YR2016,Channel Islands,CHI,..,..,..,111452,..
2016,YR2016,Chile,CHL,22614.3936667162,..,6.94889325403681,12304561,76.3287963867188
2016,YR2016,China,CHN,14400.8850630561,..,25.2361420030407,995072896,..
2016,YR2016,Colombia,COL,13135.0098987578,50.8,9.82540373645253,33463378,75.3788986206055
2016,YR2016,Comoros,COM,1411.15233885964,..,..,454278,..
