Time,Time Code,Country Name,Country Code,"Patent applications, residents [IP.PAT.RESD]",Medium and high-tech exports (% manufactured exports) [TX.MNF.TECH.ZS.UN]
2016,YR2016,Afghanistan,AFG,..,0
2016,YR2016,Albania,ALB,20,10.1886855480472
2016,YR2016,Algeria,DZA,106,6.05115424307804
2016,YR2016,American Samoa,ASM,..,..
2016,YR2016,Andorra,AND,..,..
2016,YR2016,Angola,AGO,..,40.0510689198201
2016,YR2016,Antigua and Barbuda,ATG,..,..
2016,YR2016,Argentina,ARG,884,44.1184930023331
2016,YR2016,Armenia,ARM,125,10.7068893464023
2016,YR2016,Aruba,ABW,..,..
2016,YR2016,Australia,AUS,2620,21.8180222008308
2016,YR2016,Austria,AUT,2078,62.5325882978905
2016,YR2016,Azerbaijan,AZE,144,28.2618970754628
2016,YR2016,"Bahamas, The",BHS,3,58.5788750888937
2016,YR2016,Bahrain,BHR,6,15.1922966497933
2016,YR2016,Bangladesh,BGD,77,1.86967789554948
2016,YR2016,Barbados,BRB,..,32.8337532600983
2016,YR2016,Belarus,BLR,455,41.9176642065523
2016,YR2016,Belgium,BEL,1054,53.6349643252655
2016,YR2016,Belize,BLZ,..,0.045270714755895
2016,YR2016,Benin,BEN,..,..
2016,YR2016,Bermuda,BMU,..,28.5896571086181
2016,YR2016,Bhutan,BTN,4,..
2016,YR2016,Bolivia,BOL,12,2.73944121273761
2016,YR2016,Bosnia and Herzegovina,BIH,60,24.0429374694788
2016,YR2016,Botswana,BWA,1,4.01183077540037
2016,YR2016,Brazil,BRA,5200,41.2036122819649
2016,YR2016,British Virgin Islands,VGB,..,..
2016,YR2016,Brunei Darussalam,BRN,16,87.2285249153242
2016,YR2016,Bulgaria,BGR,230,43.4431504486858
2016,YR2016,Burkina Faso,BFA,..,..
2016,YR2016,Burundi,BDI,..,21.2307386659448
2016,YR2016,Cabo Verde,CPV,2,0.169802427086025
2016,YR2016,Cambodia,KHM,3,9.55809684672683
2016,YR2016,Cameroon,CMR,..,10.7007558111319
2016,YR2016,Canada,CAN,4078,60.0008554591946
2016,YR2016,Cayman Islands,CYM,..,..
2016,YR2016,Central African Republic,CAF,..,65.0834742603674
2016,YR2016,Chad,TCD,..,..
2016,YR2016,Channel Islands,CHI,..,..
2016,YR2016,Chile,CHL,386,11.7407071240166
2016,YR2016,China,CHN,1204981,59.1277377177821
2016,YR2016,Colombia,COL,545,42.8459364152393
2016,YR2016,Comoros,COM,..,..
2016,YR2016,"Congo, Dem. Rep.",COD,..,..
2016,YR2016,"Congo, Rep.",COG,..,96.1244850717321
2016,YR2016,Costa Rica,CRI,9,49.9144498691935
2016,YR2016,Cote d'Ivoire,CIV,..,32.2198763129911
2016,YR2016,Croatia,HRV,175,46.7586284179874
2016,YR2016,Cuba,CUB,32,63.4252817474909
2016,YR2016,Curacao,CUW,..,..
2016,YR2016,Cyprus,CYP,3,38.8261099216532
2016,YR2016,Czechia,CZE,792,69.1075969392362
2016,YR2016,Denmark,DNK,1552,59.4273676693292
2016,YR2016,Djibouti,DJI,..,..
2016,YR2016,Dominica,DMA,..,..
2016,YR2016,Dominican Republic,DOM,28,..
2016,YR2016,Ecuador,ECU,45,15.4135950909072
2016,YR2016,"Egypt, Arab Rep.",EGY,920,34.6862668416582
2016,YR2016,El Salvador,SLV,4,14.1819233176005
2016,YR2016,Equatorial Guinea,GNQ,..,..
2016,YR2016,Eritrea,ERI,..,14.6746799859189
2016,YR2016,Estonia,EST,29,53.2189459727756
2016,YR2016,Eswatini,SWZ,..,19.6803026437953
2016,YR2016,Ethiopia,ETH,10,31.819044628367
2016,YR2016,Faroe Islands,FRO,..,..
2016,YR2016,Fiji,FJI,..,8.13776806201944
2016,YR2016,Finland,FIN,1260,48.1196493739482
2016,YR2016,France,FRA,14206,66.9941090565888
2016,YR2016,French Polynesia,PYF,..,..
2016,YR2016,Gabon,GAB,..,10.0865457090846
2016,YR2016,"Gambia, The",GMB,..,2.31608679805994
2016,YR2016,Georgia,GEO,96,27.0776053250599
2016,YR2016,Germany,DEU,48480,74.3429794923932
2016,YR2016,Ghana,GHA,14,15.8494020922451
2016,YR2016,Gibraltar,GIB,..,..
2016,YR2016,Greece,GRC,606,28.6519888379538
2016,YR2016,Greenland,GRL,..,..
2016,YR2016,Grenada,GRD,..,..
2016,YR2016,Guam,GUM,..,..
2016,YR2016,Guatemala,GTM,3,21.1406882475512
2016,YR2016,Guinea,GIN,..,..
2016,YR2016,Guinea-Bissau,GNB,..,..
2016,YR2016,Guyana,GUY,1,..
2016,YR2016,Haiti,HTI,..,3.79611579390163
2016,YR2016,Honduras,HND,10,39.8112356768584
